status,number_of_stories,age,ff_elevation,wc_encoded,roof_encoded
2.0,1.0,35.0,0.0,1.0,22.0
2.0,1.0,21.0,0.0,1.0,22.0
2.0,1.0,37.0,0.0,1.0,22.0
1.0,1.0,36.0,0.0,1.0,22.0
1.0,1.0,15.0,0.0,1.0,13.0
1.0,1.0,37.0,0.0,1.0,22.0
1.0,1.0,25.0,0.0,1.0,22.0
1.0,1.0,37.0,0.0,1.0,22.0
1.0,1.0,22.0,0.0,1.0,22.0
1.0,1.0,33.0,0.0,1.0,22.0
1.0,1.0,36.0,0.0,20.0,22.0
1.0,1.0,29.0,0.0,1.0,22.0
1.0,1.0,52.0,0.0,44.0,13.0
1.0,1.0,48.0,0.0,1.0,13.0
1.0,1.0,50.0,0.0,1.0,13.0
1.0,1.0,15.0,0.0,1.0,13.0
1.0,1.0,52.0,0.0,1.0,22.0
1.0,1.0,47.0,0.0,1.0,13.0
0.0,1.0,40.0,0.0,1.0,14.0
2.0,1.0,32.0,0.0,7.0,22.0
1.0,1.0,38.0,0.0,1.0,13.0
1.0,1.0,31.0,0.0,17.0,13.0
1.0,1.0,23.0,0.0,1.0,13.0
1.0,4.0,37.0,10.0,1.0,22.0
2.0,1.0,19.0,0.0,1.0,13.0
2.0,2.0,42.0,0.0,1.0,13.0
1.0,1.0,46.0,0.0,1.0,13.0
1.0,2.0,38.0,0.0,7.0,14.0
1.0,1.0,44.0,0.0,1.0,13.0
1.0,1.0,25.0,0.0,1.0,13.0
2.0,1.0,28.0,0.0,1.0,22.0
1.0,5.0,26.0,12.0,1.0,22.0
1.0,2.0,47.0,0.0,1.0,22.0
0.0,2.0,32.0,10.0,1.0,13.0
1.0,1.0,31.0,0.0,1.0,22.0
1.0,1.0,16.0,0.0,1.0,13.0
1.0,1.0,36.0,0.0,1.0,22.0
1.0,1.0,44.0,0.0,1.0,14.0
1.0,2.0,11.0,0.0,1.0,13.0
1.0,1.0,30.0,0.0,1.0,13.0
0.0,1.0,16.0,0.0,1.0,13.0
1.0,1.0,43.0,0.0,1.0,14.0
1.0,1.0,18.0,0.0,1.0,13.0
2.0,2.0,29.0,0.0,144.0,22.0
1.0,1.0,40.0,0.0,1.0,13.0
2.0,1.0,35.0,0.0,7.0,22.0
2.0,1.0,37.0,0.0,1.0,22.0
1.0,1.0,22.0,0.0,1.0,0.0
2.0,1.0,31.0,0.0,1.0,22.0
