status,number_of_stories,age,ff_elevation,wc_encoded,roof_encoded
2,1,35,0,13,23
2,1,21,0,13,23
2,1,37,0,13,23
1,1,36,0,13,23
1,1,15,0,13,19
1,1,37,0,13,23
1,1,25,0,13,23
1,1,37,0,13,23
1,1,22,0,13,23
1,1,33,0,13,23
1,1,36,0,44,23
1,1,29,0,13,23
1,1,52,0,17,19
1,1,48,0,13,19
1,1,50,0,13,19
1,1,15,0,13,19
1,1,52,0,13,23
1,1,47,0,13,19
0,1,40,0,13,5
2,1,32,0,22,23
1,1,38,0,13,19
1,1,31,0,1322,19
1,1,32,0,13,19
1,4,37,10,13,23
2,1,19,0,13,19
2,2,42,0,13,19
1,1,46,0,13,19
1,2,38,0,22,5
1,1,44,0,13,19
1,1,25,0,13,19
2,1,32,0,13,23
1,5,26,12,13,23
1,2,47,0,13,23
0,2,32,10,13,19
1,1,31,0,13,23
1,1,16,0,13,19
1,1,36,0,13,23
1,1,44,0,13,5
1,2,11,0,13,19
1,1,30,0,13,19
0,1,16,0,13,19
1,2,39,0,13,5
1,1,18,0,13,19
2,2,29,0,1317,23
1,1,40,0,13,19
2,1,35,0,22,23
2,1,37,0,13,23
1,1,22,0,13,8
2,1,31,0,13,23
2,2,27,8,22,5
1,1,28,0,13,19
3,5,36,0,21,23
2,1,19,0,13,19
2,1,52,0,17,19
2,2,42,0,13,19
2,1,44,0,13,19
0,6,26,0,21,33
1,2,11,0,13,19
2,1,40,0,113,14
0,1,38,0,13,19
1,1,33,0,13,8
1,1,48,0,13,19
1,1,50,0,13,19
1,3,47,0,13,23
0,3,12,0,44,8
2,2,35,7,44,33
0,2,35,0,13,23
0,3,34,0,44,8
1,2,46,0,13,8
1,2,45,0,13,23
2,2,39,0,22,8
2,1,57,0,1322,23
1,3,29,0,134,8
3,2,36,0,22,23
0,2,42,0,44,5
0,3,17,0,44,5
3,1,59,0,13,5
1,2,70,0,13,5
1,3,28,0,22,8
0,1,32,2,22,8
2,3,37,0,1322,23
2,2,52,0,17,23
1,2,18,0,13,5
1,3,39,0,22,5
2,1,36,8,4,23
