status,number_of_stories,age,roof_mwfrs_enc,wall_cladding_enc,roof_system_enc,roof_cover_enc,foundation_type,wall_structure,soffit_type,large_door_present
4.0,1.0,23.0,16.0,0.0,65.0,117.0,7.0,28.0,1.0,0.0
1.0,1.0,32.0,16.0,16.0,67.0,10.0,7.0,28.0,5.0,1.0
3.0,1.0,50.0,16.0,16919.0,62.0,121.0,7.0,28.0,4.0,0.0
2.0,1.0,78.0,16.0,16.0,65.0,121.0,7.0,21.0,3.0,0.0
1.0,1.0,63.0,16.0,10.0,65.0,6117.0,7.0,21.0,4.0,0.0
4.0,1.0,2.0,4.0,15.0,91.0,121.0,7.0,6.0,1.0,1.0
3.0,1.0,51.0,4.0,16.0,91065.0,19.0,7.0,21.0,1.0,1.0
4.0,2.0,51.0,4.0,16.0,67.0,19.0,7.0,17.0,4.0,1.0
3.0,2.0,51.0,16.0,16.0,67.0,6.0,7.0,17.0,4.0,0.0
3.0,3.0,26.0,16.0,16.0,91.0,117.0,7.0,27.0,4.0,0.0
2.0,6.0,31.0,13.0,10.0,8.0,25.0,7.0,27.0,1.0,0.0
2.0,1.0,18.0,13.0,10.0,8.0,25.0,7.0,17.0,1.0,0.0
1.0,1.0,11.0,16.0,1623.0,62.0,19.0,7.0,28.0,4.0,1.0
2.0,1.0,8.0,16.0,234.0,62.0,19.0,7.0,28.0,4.0,1.0
1.0,1.0,10.0,16.0,1623.0,62.0,19.0,7.0,28.0,4.0,1.0
1.0,1.0,7.0,16.0,1623.0,62.0,6.0,7.0,28.0,4.0,1.0
2.0,1.0,8.0,16.0,1623.0,62.0,6.0,7.0,28.0,4.0,1.0
2.0,1.0,8.0,16.0,23.0,62.0,6.0,7.0,28.0,4.0,1.0
2.0,1.0,9.0,16.0,23.0,62.0,6.0,7.0,28.0,4.0,1.0
2.0,1.0,9.0,16.0,23.0,62.0,6.0,7.0,28.0,4.0,1.0
2.0,1.0,11.0,16.0,1623.0,62.0,19.0,7.0,28.0,4.0,1.0
2.0,1.0,8.0,16.0,1623.0,62.0,19.0,7.0,28.0,4.0,1.0
1.0,1.0,8.0,16.0,1623.0,62.0,6.0,7.0,28.0,4.0,1.0
2.0,1.0,7.0,16.0,1623.0,62.0,19.0,7.0,28.0,4.0,1.0
2.0,1.0,8.0,16.0,1623.0,62.0,6.0,7.0,28.0,4.0,1.0
3.0,1.0,6.0,16.0,1623.0,62.0,19.0,7.0,28.0,4.0,1.0
2.0,1.0,5.0,16.0,23.0,3.0,6.0,7.0,28.0,4.0,1.0
1.0,1.0,4.0,16.0,23.0,62.0,19.0,7.0,28.0,3.0,1.0
3.0,1.0,35.0,16.0,23.0,910.0,19.0,7.0,28.0,1.0,0.0
2.0,1.0,18.0,16.0,16.0,3.0,25.0,7.0,17.0,3.0,0.0
0.0,1.0,33.0,16.0,0.0,3.0,19.0,7.0,17.0,1.0,0.0
4.0,2.0,23.0,16.0,23.0,62.0,19.0,7.0,17.0,4.0,0.0
0.0,1.0,53.0,4.0,25.0,67.0,19.0,7.0,28.0,3.0,1.0
2.0,1.0,56.0,16.0,10.0,65.0,6.0,7.0,17.0,3.0,0.0
1.0,1.0,11.0,16.0,1623.0,62.0,6.0,7.0,28.0,4.0,1.0
2.0,1.0,11.0,16.0,1623.0,62.0,6.0,7.0,28.0,4.0,1.0
3.0,1.0,11.0,16.0,16.0,62.0,19.0,7.0,28.0,4.0,1.0
1.0,2.0,61.0,16.0,10.0,65.0,19.0,1.0,17.0,4.0,0.0
1.0,1.0,10.0,16.0,14.0,62.0,6.0,1.0,28.0,4.0,0.0
1.0,1.0,22.0,16.0,10.0,62.0,6.0,7.0,28.0,4.0,1.0
1.0,2.0,0.0,16.0,140.0,62.0,121.0,7.0,28.0,4.0,0.0
3.0,1.0,18.0,4.0,15.0,910.0,117.0,7.0,6.0,1.0,0.0
0.0,1.0,54.0,3.0,28.0,3.0,19.0,7.0,27.0,4.0,0.0
0.0,1.0,2.0,3.0,0.0,67.0,121.0,7.0,28.0,4.0,0.0
1.0,2.0,70.0,3.0,9230.0,62.0,19.0,7.0,28.0,4.0,1.0
1.0,1.0,70.0,16.0,12.0,65.0,121.0,6.0,17.0,5.0,0.0
2.0,2.0,68.0,16.0,2327.0,62.0,19.0,7.0,28.0,4.0,0.0
4.0,1.0,58.0,16.0,1013.0,65.0,19121.0,7.0,15.0,4.0,0.0
0.0,1.0,62.0,16.0,16.0,62.0,19.0,7.0,15.0,5.0,0.0
3.0,2.0,53.0,16.0,1619.0,65.0,19.0,7.0,28.0,4.0,0.0
3.0,2.0,33.0,16.0,9.0,62.0,19.0,7.0,28.0,5.0,0.0
2.0,1.0,13.0,16.0,16.0,65.0,19.0,7.0,8.0,5.0,0.0
1.0,1.0,42.6,16.0,16.0,65.0,19.0,7.0,8.0,5.0,0.0
1.0,2.0,2.0,16.0,927.0,65.0,117.0,7.0,8.0,3.0,0.0
1.0,25.0,11.0,16.0,927.0,65.0,117.0,7.0,8.0,3.0,0.0
1.0,1.0,32.0,16.0,9.0,65.0,10.0,7.0,28.0,3.0,0.0
2.0,1.0,25.0,16.0,9.0,65.0,10.0,7.0,28.0,3.0,0.0
2.0,12.0,34.0,16.0,10.0,65.0,121.0,7.0,17.0,3.0,0.0
1.0,1.0,64.0,16.0,10.0,67.0,18.0,7.0,28.0,3.0,0.0
2.0,1.0,59.6,16.0,10.0,67.0,18.0,7.0,28.0,3.0,0.0
3.0,1.0,56.0,16.0,10.0,67.0,18.0,7.0,28.0,3.0,0.0
4.0,1.0,32.0,4.0,15.0,910.0,117.0,7.0,6.0,1.0,1.0
2.0,1.0,44.4,4.0,15.0,910.0,117.0,7.0,6.0,1.0,1.0
2.0,1.0,67.0,4.0,15.0,910.0,117.0,7.0,6.0,1.0,1.0
3.0,1.0,41.0,4.0,15.0,910.0,117.0,7.0,6.0,1.0,1.0
3.0,1.0,41.0,4.0,15.0,910.0,117.0,7.0,6.0,1.0,1.0
3.0,1.0,41.0,4.0,15.0,910.0,117.0,7.0,6.0,1.0,1.0
3.0,1.0,41.0,4.0,15.0,910.0,117.0,7.0,6.0,1.0,1.0
3.0,1.0,60.0,4.0,15.0,910.0,117.0,7.0,6.0,1.0,1.0
4.0,1.0,49.0,4.0,15.0,910.0,117.0,7.0,6.0,1.0,1.0
4.0,2.0,34.0,4.0,0.0,62.0,19.0,7.0,28.0,3.0,0.0
4.0,1.0,31.2,16.0,16.0,65.0,6.0,7.0,28.0,3.0,0.0
3.0,1.0,58.0,16.0,10.0,62.0,10.0,7.0,28.0,4.0,0.0
3.0,1.0,58.0,16.0,16.0,65.0,121.0,7.0,28.0,3.0,0.0
4.0,2.0,34.0,16.0,23.0,62.0,19.0,7.0,28.0,4.0,0.0
2.0,1.0,11.0,16.0,1623.0,62.0,6.0,8.0,28.0,4.0,1.0
1.0,1.0,12.0,16.0,1623.0,62.0,6.0,7.0,28.0,4.0,1.0
1.0,1.0,12.0,16.0,1610.0,62.0,6.0,7.0,28.0,4.0,1.0
1.0,1.0,12.0,16.0,16.0,62.0,6.0,7.0,28.0,4.0,1.0
2.0,1.0,12.0,16.0,16.0,62.0,19.0,7.0,28.0,4.0,1.0
1.0,1.0,20.0,16.0,16.0,67.0,121.0,8.0,28.0,0.0,1.0
2.0,1.0,12.0,16.0,23.0,62.0,6.0,7.0,28.0,4.0,1.0
1.0,1.0,20.0,16.0,10.0,62.0,6.0,8.0,28.0,4.0,1.0
2.0,1.0,20.0,16.0,10.0,62.0,6.0,8.0,28.0,4.0,1.0
2.0,1.0,20.0,16.0,10.0,62.0,19.0,7.0,28.0,4.0,1.0
2.0,1.0,20.0,16.0,10.0,62.0,6.0,7.0,28.0,4.0,1.0
2.0,1.0,12.0,16.0,1614.0,62.0,6.0,8.0,28.0,4.0,1.0
4.0,2.0,21.0,16.0,23.0,65.0,121.0,12.0,28.0,4.0,0.0
2.0,3.0,15.0,16.0,10.0,3.0,25.0,0.0,17.0,4.0,0.0
3.0,1.0,17.0,16.0,23.0,62.0,19.0,13.0,28.0,4.0,0.0
2.0,3.0,41.0,16.0,10.0,910.0,117.0,7.0,6.0,1.0,0.0
3.0,3.0,33.0,16.0,10.0,62.0,121.0,7.0,28.0,1.0,0.0
2.0,2.0,66.0,16.0,19.0,67.0,19.0,7.0,32.0,1.0,0.0
1.0,1.0,68.0,16.0,37.0,67.0,19.0,7.0,17.0,4.0,0.0
1.0,1.0,31.0,16.0,1623.0,62.0,19.0,7.0,28.0,4.0,1.0
1.0,1.0,22.0,16.0,10.0,62.0,19.0,7.0,28.0,4.0,1.0
4.0,2.0,35.0,16.0,10.0,65.0,121.0,7.0,32.0,3.0,0.0
2.0,2.0,1.0,16.0,23.0,62.0,121.0,7.0,28.0,4.0,0.0
4.0,1.0,68.0,16.0,100.0,62.0,19.0,7.0,17.0,1.0,0.0
