status,number_of_stories,age,ff_elevation,wall_clad,roof_cov
2,1,35,0,2,3
2,1,21,0,2,3
2,1,37,0,2,3
1,1,36,0,2,3
1,1,15,0,2,4
1,1,37,0,2,3
1,1,25,0,2,3
1,1,37,0,2,3
1,1,22,0,2,3
1,1,33,0,2,3
1,1,36,0,3,3
1,1,29,0,2,3
1,1,52,0,1,4
1,1,48,0,2,4
1,1,50,0,2,4
1,1,15,0,2,4
1,1,52,0,2,3
1,1,47,0,2,4
0,1,40,0,2,1
2,1,32,0,1,3
1,1,38,0,2,4
1,1,31,0,2,4
1,1,27,0,2,4
1,4,37,10,2,3
2,1,19,0,2,4
2,2,42,0,2,4
1,1,46,0,2,4
1,2,38,0,1,1
1,1,44,0,2,4
1,1,25,0,2,4
2,1,23,0,2,3
1,5,26,12,2,3
1,2,47,0,2,3
0,2,32,10,2,4
1,1,31,0,2,3
1,1,16,0,2,4
1,1,36,0,2,3
1,1,44,0,2,1
1,2,11,0,2,4
1,1,30,0,2,4
0,1,16,0,2,4
1,2,27,0,2,1
1,1,18,0,2,4
2,2,29,0,2,3
1,1,40,0,2,4
2,1,35,0,1,3
2,1,37,0,2,3
1,1,22,0,2,3
2,1,31,0,2,3
2,2,27,8,1,1
1,1,28,0,2,4
3,5,36,0,3,3
2,1,19,0,2,4
2,1,52,0,1,4
2,2,42,0,2,4
2,1,44,0,2,4
0,6,26,0,3,2
1,2,11,0,2,4
2,1,40,0,2,4
0,1,38,0,2,4
1,1,33,0,2,3
1,1,48,0,2,4
1,1,50,0,2,4
1,3,47,0,2,3
0,3,12,0,3,3
2,2,35,7,3,2
0,2,35,0,2,3
0,3,34,0,3,3
1,2,46,0,2,3
1,2,45,0,2,3
2,2,39,0,1,3
2,1,57,0,2,3
1,3,29,0,2,3
3,2,36,0,1,3
0,2,42,0,3,1
0,3,17,0,3,1
3,1,59,0,2,1
1,2,70,0,2,1
1,3,28,0,1,3
0,1,32,2,1,3
2,3,37,0,2,3
2,2,52,0,1,3
1,2,18,0,2,1
1,3,39,0,1,1
2,1,36,8,4,3
1,2,33,8,3,3
3,1,28,8,4,2
2,2,28,0,2,3
4,3,37,0,2,3
1,1,48,0,2,3
2,1,63,0,1,3
4,1,47,0,4,1
1,1,21,8,3,3
4,1,47,0,1,3
1,1,35,8,1,3
1,2,19,6,2,1
1,3,9,0,4,2
1,2,50,0,2,3
1,1,47,6,1,3
4,1,45,6,1,3
1,1,42,8,2,3
2,3,35,0,4,3
2,3,35,0,1,3
2,3,35,0,1,3
1,3,35,0,1,3
3,3,35,0,1,3
1,3,35,0,1,3
4,1,44,5,3,2
0,2,47,3,2,2
1,2,42,3,3,2
1,1,67,0,2,4
1,1,66,0,2,3
1,2,18,0,3,2
4,2,44,0,3,2
1,2,18,0,3,2
2,1,46,0,2,2
0,1,8,0,3,4
1,1,22,0,2,4
1,1,14,0,2,4
1,1,47,0,2,4
1,2,21,0,2,4
1,1,70,0,2,4
